No.	Name	Elements
381	冰钻布鲁斯	冰
380	雪顶布鲁斯	冰
379	布鲁斯	冰
369	鲁特	冰
368	鲁尔	冰
367	鲁米	冰
407	麋鹿	冰，土
446	梅花鹿	冰，萌
445	怨念魔鱼	水
444	鱼美人	水
443	艾莉儿	水
442	海霸星	水
441	海魔星	水
440	海闪星	水
169	白海豹	水，冰
168	小海豹	水
153	酷拉	电
152	拉特	电
254	霹雳旋风鼠	土
253	钻钻鼠	土
252	小钻鼠	土
251	多角玲鹿	土
250	玲鹿	土
249	小玲鹿	土
242	火爆猴	武
241	拳套猴	武
240	小火猴	武
343	炸弹头领	恶魔
342	炸弹人	恶魔
341	南瓜炸弹	恶魔
409	卡秋莎	恶魔，龙
408	小卡秋莎	恶魔
361	武斗宰相	幽灵，萌
360	武斗尚书	幽灵，萌
359	武斗谋士	幽灵，萌
334	海盗木乃伊	恶魔，电
333	利爪木乃伊	恶魔，电
332	小木乃伊	恶魔，电
331	骨龙恶魔	恶魔，水
330	石像恶魔	恶魔，水
329	无牙恶魔	恶魔，水
328	宝石恶魔	恶魔，火
327	暴牙恶魔	恶魔，火
326	星星恶魔	恶魔，火
358	跳跳移尸	幽灵
357	符咒走尸	幽灵
356	小罗王	幽灵
352	雪云恶灵	幽灵，水
351	雪云幽灵	幽灵，水
350	雪浮灵	幽灵，水
349	铃铛恶灵	幽灵，火
348	铃铛幽灵	幽灵，火
347	铃铛鬼灵	幽灵，火
337	肌肉狼	恶魔，萌
336	酷酷狼	恶魔，萌
335	恶魔狼	恶魔，萌
364	幽冥紫灯	幽灵，冰
363	幽冥眼	幽灵，冰
362	幽冥灯	幽灵，冰
355	幽灵巨魔	幽灵，电
354	幽灵水母	幽灵，电
353	幽灵刺	幽灵，电
340	恶魔战士	恶魔，冰
339	恶魔娃娃	恶魔，冰
338	恶魔猪	恶魔，冰
293	炎魔地狱犬	恶魔，萌
292	地狱三头犬	恶魔，萌
291	小地狱犬	恶魔，萌
248	独眼巨魔	恶魔，水
247	独眼魔	恶魔，水
246	独眼怪	恶魔，水
245	乌拉塔	恶魔，火
244	迷你乌	恶魔，火
243	乌达	恶魔，火
319	鹿角贝贝	机械
318	机械贝贝	机械
317	小机械贝贝	机械
365	水球球	萌
302	超导缇塔	机械
301	声波缇塔	机械
300	缇塔	机械
263	罗卡德	机械
262	罗达战车	机械
261	罗达械	机械
236	机械龙	机械
235	机械蜥蜴	机械
234	机甲壳	机械
218	火箭喷射龙	机械
217	火箭龙	机械
216	豆豆龙	机械
290	蒸汽神龙	龙
289	蒸汽甲龙	龙
288	蒸汽龙	龙
287	霹雳金龙	龙
286	霹雳石龙	龙
285	霹雳龙	龙
275	触灵飞龙	龙，翼
274	触角草龙	龙，翼
